slack_channel,team,channel,membership_type,archive,share_with,,
company-jer-nee,Jer-nee Company,General,,,,,
leadership,Jer-nee Leadership,General,,,,,
flightwave-internal,Jer-nee Implementation,Flightwave Internal,,,,,
g3-external,Jer-nee Implementation,G3 External,,,,,
kotm-internal,Jer-nee Implementation,KOTM Internal,,,,,
charter-jer-nee,Jer-nee Implementation,Charter External,,,,,
jer-nee--teal,Jer-nee Implementation,Jer-nee Teal,,Y,,,
nextlevelconnected,Jer-nee - MKTG,General,,,,,
teal-internal,Jer-nee Implementation,Teal Internal,,,,,
small-satellite,Jer-nee - MKTG,Small Satellite,,,,,
ext-peakforce-atlassian-support,Tech Partner,,,,,,
g3-enterprises-internal,Jer-nee Implementation,G3,,,,,
internal-veev,Jer-nee Implementation,Veev Internal,,Y,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
